datetime, usd, czk
2020.05.27 19:46:25,9152.05,225249
2020.05.27 20:02:11,9166.07,225594
2020.05.27 20:16:05,9157.95,225395
2020.05.27 20:31:06,9167.46,225629
2020.05.27 20:46:09,9170.93,225714
2020.05.27 21:02:15,9162.83,225515
2020.05.27 21:16:16,9157.32,225379
2020.05.27 21:31:20,9132.1,224758
2020.05.27 21:46:16,9084.79,223594
2020.05.27 22:02:02,9065.76,223126
2020.05.27 22:16:02,9117.31,224394
2020.05.27 22:31:01,9111.16,224243
2020.05.27 22:46:29,9107.45,224152
2020.05.27 23:01:52,9099.04,223945
2020.05.27 23:16:16,9117.48,224399
2020.05.27 23:31:19,9136.34,224863
2020.05.27 23:46:27,9194.3,226289
2020.05.28 00:04:42,9189.74,226177
2020.05.28 00:40:32,9191.62,226223
2020.05.28 00:46:03,9203.02,226504
2020.05.28 01:02:10,9256.99,227832
2020.05.28 01:17:12,9239.45,227400
2020.05.28 01:31:18,9234.29,227273
2020.05.28 01:46:16,9232.72,227235
2020.05.28 02:02:22,9213.35,226758
2020.05.28 02:17:29,9215.43,226809
2020.05.28 02:31:04,9182.2,225991
2020.05.28 02:46:03,9197.11,226358
2020.05.28 03:02:09,9199.1,226407
2020.05.28 03:16:23,9190.68,226200
2020.05.28 03:31:20,9181.29,225969
2020.05.28 03:46:24,9174.85,225810
2020.05.28 04:02:27,9157.91,225394
2020.05.28 04:17:01,9180.02,225938
2020.05.28 04:31:06,9194.53,226295
2020.05.28 04:46:10,9172.27,225747
2020.05.28 05:02:16,9171.42,225726
2020.05.28 05:16:19,9165.07,225570
2020.05.28 05:31:21,9144.19,225056
2020.05.28 05:46:23,9152.31,225256
2020.05.28 06:02:28,9162.34,225503
2020.05.28 06:17:38,9174.08,225792
2020.05.28 06:31:09,9159.17,225425
2020.05.28 06:46:13,9157.88,225393
2020.05.28 07:02:17,9171.17,225720
2020.05.28 07:16:24,9166.23,225598
2020.05.28 07:31:22,9173.8,225785
2020.05.28 07:46:01,9127.45,224644
2020.05.28 08:02:32,9132.56,224770
2020.05.28 08:17:50,9138.68,224920
2020.05.28 08:31:23,9162.74,225512
2020.05.28 08:46:21,9169.26,225673
2020.05.28 09:01:55,9186.32,226093
2020.05.28 09:16:47,9183.01,226011
2020.05.28 09:31:02,9183.98,226035
2020.05.28 09:46:09,9193.53,226270
